context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.0953755755666815e-05,1.2205216321694154e-06,7.812436132313647e-07,2.52034287597663e-07
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],2.1910728008719815e-05,2.4410215123641866e-06,1.5622892856793508e-06,9.846092092437269e-07
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],4.38341425486197e-05,4.881964230380063e-06,3.1248580896103383e-06,3.891400229019646e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],8.7717594245049e-05,9.763679018978919e-06,6.250651537824827e-06,1.5471584927391514e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.00017562091022638114,1.9526886530566577e-05,1.2496533851868994e-05,6.16972199164639e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0003518923097042881,3.905609944452112e-05,2.4991070843300435e-05,0.0002463771978706096
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.0009840225369519885,7.815513674905105e-05,4.9914853321863335e-05,0.0009840225369519885
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.003921525765320023,0.0001567467042465654,9.961506571114765e-05,0.003921525765320023
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:46:01,simulation2,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.015466129285435818,0.00031718670425199576,0.00019690663525530024,0.015466129285435818
context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.3163702437206733e-05,1.248384542546492e-06,8.012981554737947e-07,7.922392410897292e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],2.6309271020994795e-05,2.496598090450791e-06,1.602921251892844e-06,1.5349591015722827e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],5.254581213439663e-05,4.992519486816516e-06,3.2071747343546375e-06,2.8718253112464844e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.000104799152840497,9.982390648823994e-06,6.412763161791744e-06,4.951166309517705e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.0002084160723017108,1.9954658276400843e-05,1.2820069909363457e-05,6.73165528112824e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0004120055365576208,3.9872626472523895e-05,2.5637093974028617e-05,7.772751688397277e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.0008039417327242632,7.962945520793385e-05,5.114687148920235e-05,0.0004917466544848312
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.0030048362371565764,0.0001590491730119171,0.00010171571066769061,0.0030048362371565764
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:00:04,simulation3,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.01392820617411622,0.00031927928542937225,0.00020022499660117706,0.01392820617411622
