   1.0000000e-02   1.0266808e-05   1.1141827e-02   8.6038810e-03   2.1786561e+01
   1.0046181e-02   1.0309605e-05   1.1188276e-02   8.5605636e-03   2.1677160e+01
   1.0092575e-02   1.0352559e-05   1.1234897e-02   8.5174477e-03   2.1568270e+01
   1.0139184e-02   1.0395671e-05   1.1281689e-02   8.4745323e-03   2.1459888e+01
   1.0186008e-02   1.0438941e-05   1.1328653e-02   8.4318167e-03   2.1352010e+01
   1.0233048e-02   1.0482370e-05   1.1375789e-02   8.3892998e-03   2.1244636e+01
   1.0280305e-02   1.0525958e-05   1.1423098e-02   8.3469807e-03   2.1137763e+01
   1.0327781e-02   1.0569705e-05   1.1470580e-02   8.3048587e-03   2.1031388e+01
   1.0375475e-02   1.0613612e-05   1.1518235e-02   8.2629326e-03   2.0925510e+01
   1.0423390e-02   1.0657679e-05   1.1566065e-02   8.2212018e-03   2.0820125e+01
   1.0471527e-02   1.0701907e-05   1.1614068e-02   8.1796652e-03   2.0715232e+01
   1.0519885e-02   1.0746296e-05   1.1662247e-02   8.1383221e-03   2.0610829e+01
   1.0568467e-02   1.0790846e-05   1.1710601e-02   8.0971714e-03   2.0506913e+01
   1.0617274e-02   1.0835558e-05   1.1759130e-02   8.0562124e-03   2.0403481e+01
   1.0666305e-02   1.0880432e-05   1.1807835e-02   8.0154441e-03   2.0300533e+01
   1.0715563e-02   1.0925469e-05   1.1856717e-02   7.9748657e-03   2.0198066e+01
   1.0765049e-02   1.0970668e-05   1.1905776e-02   7.9344764e-03   2.0096077e+01
   1.0814763e-02   1.1016030e-05   1.1955012e-02   7.8942753e-03   1.9994564e+01
   1.0864707e-02   1.1061556e-05   1.2004425e-02   7.8542614e-03   1.9893525e+01
   1.0914881e-02   1.1107247e-05   1.2054017e-02   7.8144340e-03   1.9792959e+01
   1.0965287e-02   1.1153101e-05   1.2103787e-02   7.7747922e-03   1.9692862e+01
   1.1015926e-02   1.1199120e-05   1.2153736e-02   7.7353352e-03   1.9593233e+01
   1.1066799e-02   1.1245304e-05   1.2203864e-02   7.6960622e-03   1.9494069e+01
