context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,1.0,[0. 0.],9.95895545668234e-06,1.0684800920438105e-06,6.831374040231277e-07,5.821567645052853e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,2.0,[0. 0.],1.9924445496223286e-05,2.136907879476447e-06,1.3664546094840916e-06,1.133563093748725e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,4.0,[0. 0.],3.987489864921748e-05,4.273607984443158e-06,2.7326449828190578e-06,2.1441181960677527e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,8.0,[0. 0.],7.985278181008606e-05,8.546396447023209e-06,5.4652731726076145e-06,3.7961585932181203e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,16.0,[0. 0.],0.0001601091301621527,1.708960784723739e-05,1.0930017918420588e-05,5.623705941056986e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,32.0,[0. 0.],0.00032508072351692324,3.416722632280445e-05,2.1851254017292414e-05,3.371632507268856e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,64.0,[0. 0.],0.0007407663311117044,6.829259576218957e-05,4.367701518866404e-05,0.0002475347083563087
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,128.0,[0. 0.],0.0019313596664801555,0.00013646775769960497,8.718426872043159e-05,0.001751703526266257
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-05-24 14:38:42,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,256.0,[0. 0.],0.008461009505516572,0.000272873886280354,0.0001720146798853265,0.008461009505516572
