context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,1.0,[0. 0.],7.582042451474025e-06,8.420375843136826e-07,5.377809459217512e-07,5.984421956188801e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,2.0,[0. 0.],1.5148712463748872e-05,1.6839876779093623e-06,1.0756102628068928e-06,1.156587231196364e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,4.0,[0. 0.],3.0235853597131076e-05,3.3676419563498393e-06,2.151466114775918e-06,2.1519821497923227e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,8.0,[0. 0.],6.0224771564308203e-05,6.734082887447082e-06,4.302902754075404e-06,3.659172418858925e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,16.0,[0. 0.],0.00011945663488765573,1.3464423072524437e-05,8.606017612203134e-06,4.7391043159212384e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,32.0,[0. 0.],0.00024821636487364215,2.692237226941995e-05,1.7199422049817698e-05,8.376090352222858e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,64.0,[0. 0.],0.0006278925502304443,5.388668155237084e-05,3.43632972119324e-05,0.00042901709252127343
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,128.0,[0. 0.],0.002499753552902829,0.00010847409014863296,6.869544276692826e-05,0.002499753552902829
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-18 10:18:46,512,4096,1.0,[0. 0.],0.0,1.0,False,True,0.0,256.0,[0. 0.],0.0114387628384121,0.0002236451806251487,0.00013743007484701502,0.0114387628384121
