context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,1.0,[0. 0.],8.275484918610233e-06,1.023349174024357e-06,6.508172992809419e-07,4.15924469553465e-06
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,2.0,[0. 0.],1.6552799466795892e-05,2.0467431162143315e-06,1.3014425202191706e-06,8.520707253652314e-06
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,4.0,[0. 0.],3.311284871172561e-05,4.0936637484671426e-06,2.6035615433787176e-06,1.7850227606642077e-05
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,8.0,[0. 0.],6.625414625719043e-05,8.18802508835757e-06,5.206300248355083e-06,3.893521863054354e-05
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,16.0,[0. 0.],0.0001326176808657276,1.6378740493897345e-05,1.0418072536012567e-05,9.080521261286042e-05
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,32.0,[0. 0.],0.00026563758098013736,3.2767437566180975e-05,2.0845435894452892e-05,0.00023330944450472243
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,64.0,[0. 0.],0.0006730009684824551,6.55681982757052e-05,4.165895674610921e-05,0.0006730009684824551
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,128.0,[0. 0.],0.0021667380209021603,0.0001312167202151065,8.333943858155189e-05,0.0021667380209021603
singlesource,/Users/timcornwell/Code/sim-mid-pointing/arl_simulation/pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-06-03 16:12:45,simulation15,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[0. 1.],0.0,256.0,[0. 0.],0.007555014093543732,0.00026231954785002604,0.000165381649368575,0.007555014093543732
