context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,1.0,[0. 0.],4.883736047285948e-05,4.796157299388088e-06,2.6071451012366983e-06,4.7454724340537545e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,2.0,[0. 0.],9.782660821903207e-05,9.592302511878705e-06,5.214160519254061e-06,9.443266712601707e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,4.0,[0. 0.],0.00019625996930780127,1.9184561401094542e-05,1.0427394241073505e-05,0.00018695793226991165
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.0003949405434641559,3.836898543082636e-05,2.085762892203192e-05,0.0003662841568910032
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.0007995117797144532,7.673770770143322e-05,4.173935819871601e-05,0.0007020261306910607
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0016371249552539788,0.000153476472651594,8.343986114451546e-05,0.0012817834720955093
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.003423167586831888,0.00030697108526568526,0.00016662551881448448,0.0020740552568222367
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.007412365284893014,0.0006140766233732294,0.00033350868067853767,0.0021923472210175015
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:12:32,simulation4,512,4096,1.0,[0. 0.],0.0,1.0,True,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.01682846722629802,0.0012283768812706,0.0006659275569101654,0.0033302178076178215
