context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,use_radec,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,1.0,[0. 0.],8.380987238056402e-06,9.222931723627742e-07,5.891104516916156e-07,6.863617671533704e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,2.0,[0. 0.],1.6772316444142504e-05,1.8446533718004203e-06,1.1781688608041442e-06,1.4010369995845854e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,4.0,[0. 0.],3.358591754987239e-05,3.689577599524865e-06,2.356534248888871e-06,2.9153231221451118e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,8.0,[0. 0.],6.733630736339047e-05,7.380260574818513e-06,4.713233778856383e-06,6.283601190119844e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,16.0,[0. 0.],0.00014378636740550868,1.4765117743416076e-05,9.42566894344395e-06,0.00014378636740550868
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,32.0,[0. 0.],0.0003599905942426919,2.9550016352857595e-05,1.8860350827113022e-05,0.0003599905942426919
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,64.0,[0. 0.],0.001009189751093493,5.9190223713340144e-05,3.767330435151997e-05,0.001009189751093493
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,128.0,[0. 0.],0.003169210715988144,0.00011882744387456512,7.517432994692103e-05,0.003169210715988144
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:16:26,simulation13,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,256.0,[0. 0.],0.010857874398752127,0.0002400802402127841,0.00014935980976002732,0.010857874398752127
