context,nb_name,plotfile,hostname,epoch,basename,nworkers,ngroup,npixel,pb_npixel,flux_limit,pbtype,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,declination,scale,use_radec,use_natural,time_series,integration_time,seed,ntotal,pe,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral,psf_maxabs,psf_rms,psf_medianabs,elapsed_time
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-04 16:00:20,case1,183,8,512,1024,0.3,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,45.0,[1. 1.],False,False,wind,10.0,18051955,14261728320,precision,2.5216972919956815e-07,5.7282829784954564e-08,3.857307635265067e-08,5.999004396351883e-08,0.9991076540409,0.004770338758609303,0.0014672436508870335,8055.966315984726,3245.622952820163
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-04 16:00:20,case1,183,8,512,1024,0.3,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,45.0,[1. 1.],False,False,wind,10.0,18051955,14261728320,standard,1.1070279530685773e-06,2.464829389979031e-07,1.6588295754577597e-07,2.6551123936466075e-07,0.9991076540409,0.004770338758609303,0.0014672436508870335,16063.82479262352,3245.622952820163
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-04 16:00:20,case1,183,8,512,1024,0.3,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,45.0,[1. 1.],False,False,wind,10.0,18051955,14261728320,degraded,1.9067212460746946e-06,4.205577003223718e-07,2.829621669438779e-07,4.599164270274213e-07,0.9991076540409,0.004770338758609303,0.0014672436508870335,24011.700135946274,3245.622952820163
