context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,use_radec,use_natural,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,1.0,[0. 0.],1.1523456602982046e-05,8.73039125189041e-07,5.570308835209638e-07,1.1523456602982046e-05
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,2.0,[0. 0.],2.3443348513188424e-05,1.7462557300811128e-06,1.114021203964777e-06,2.3443348513188424e-05
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,4.0,[0. 0.],4.847233507149049e-05,3.493236087795658e-06,2.2281325038582262e-06,4.847233507149049e-05
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,8.0,[0. 0.],0.00010328631584136406,6.9894881752654285e-06,4.456306486536148e-06,0.00010328631584136406
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,16.0,[0. 0.],0.0002319308943873702,1.399197740305995e-05,8.914233759833833e-06,0.0002319308943873702
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,32.0,[0. 0.],0.0005652115972757434,2.8043403406230962e-05,1.7839169494193376e-05,0.0005652115972757434
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,64.0,[0. 0.],0.0015348894421312147,5.63831355811022e-05,3.575596725278057e-05,0.0015348894421312147
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,128.0,[0. 0.],0.004675937763606996,0.00011439793325672943,7.183014378802467e-05,0.004675937763606996
singlesource,pointing_simulation.py,./pointingsimulation_phartley-lt1.skatelescope.org_0.jpg,phartley-lt1.skatelescope.org,2019-06-10 16:19:21,simulation20,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],True,False,0.0,256.0,[0. 0.],0.0156167236639214,0.00023839424965947322,0.00014424877353455505,0.0156167236639214
