context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.5862276456911113e-05,2.7338873857145e-06,1.8293825536172278e-06,6.642210743437932e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],3.172285083848772e-05,5.467661851834479e-06,3.6594549552715237e-06,1.3275689245766683e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],6.343885636314401e-05,1.093487749285332e-05,7.31913207483685e-06,2.6516423914840373e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.00012685003568078246,2.1868013904449926e-05,1.4636774743746262e-05,5.2892825089539464e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.0002535870015196092,4.372941390923053e-05,2.9269738706220224e-05,0.00010522393157316487
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0005067029048046423,8.743518056505345e-05,5.854682920324873e-05,0.0002081880925022226
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.0010171232590977842,0.0001749871417124126,0.00011711228508731679,0.00040590540747135995
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.0020368308796474013,0.00035343735352093476,0.00023658646198574653,0.0007703173795919961
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 16:54:15,simulation7,512,4096,0.3,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.004820221746068518,0.0008752693534543297,0.0005865591220349378,0.0011761534527603237
