   1.0000000e-03   9.3187362e-03   7.9922259e-04   1.5755813e+02   4.4653574e+00
   1.0057760e-03   9.3720174e-03   8.0379227e-04   1.5664437e+02   4.4394692e+00
   1.0115853e-03   9.4256002e-03   8.0838781e-04   1.5573586e+02   4.4137298e+00
   1.0174282e-03   9.4794861e-03   8.1300934e-04   1.5483257e+02   4.3881384e+00
   1.0233048e-03   9.5336768e-03   8.1765702e-04   1.5393447e+02   4.3626939e+00
   1.0292153e-03   9.5881741e-03   8.2233099e-04   1.5304152e+02   4.3373955e+00
   1.0351601e-03   9.6429795e-03   8.2703139e-04   1.5215371e+02   4.3122427e+00
   1.0411391e-03   9.6980948e-03   8.3175837e-04   1.5127099e+02   4.2872343e+00
   1.0471527e-03   9.7535218e-03   8.3651208e-04   1.5039335e+02   4.2623697e+00
   1.0532010e-03   9.8092621e-03   8.4129266e-04   1.4952075e+02   4.2376479e+00
   1.0592842e-03   9.8653175e-03   8.4610026e-04   1.4865315e+02   4.2130682e+00
   1.0654026e-03   9.9216897e-03   8.5093504e-04   1.4779055e+02   4.1886297e+00
   1.0715563e-03   9.9783805e-03   8.5579713e-04   1.4693289e+02   4.1643316e+00
   1.0777456e-03   1.0035392e-02   8.6068670e-04   1.4608017e+02   4.1401732e+00
   1.0839706e-03   1.0092725e-02   8.6560390e-04   1.4523234e+02   4.1161536e+00
   1.0902316e-03   1.0150382e-02   8.7054887e-04   1.4438938e+02   4.0922720e+00
   1.0965287e-03   1.0208365e-02   8.7552177e-04   1.4355127e+02   4.0685277e+00
   1.1028622e-03   1.0266675e-02   8.8052276e-04   1.4271797e+02   4.0449198e+00
   1.1092323e-03   1.0325314e-02   8.8555198e-04   1.4188945e+02   4.0214476e+00
   1.1156392e-03   1.0384285e-02   8.9060960e-04   1.4106570e+02   3.9981102e+00
   1.1220831e-03   1.0443588e-02   8.9569577e-04   1.4024667e+02   3.9749070e+00
   1.1285642e-03   1.0503226e-02   9.0081065e-04   1.3943235e+02   3.9518371e+00
   1.1350827e-03   1.0563201e-02   9.0595440e-04   1.3862271e+02   3.9288998e+00
   1.1416389e-03   1.0623514e-02   9.1112717e-04   1.3781772e+02   3.9060943e+00
   1.1482330e-03   1.0684167e-02   9.1632913e-04   1.3701736e+02   3.8834199e+00
   1.1548651e-03   1.0745163e-02   9.2156043e-04   1.3622159e+02   3.8608758e+00
   1.1615356e-03   1.0806503e-02   9.2682124e-04   1.3543039e+02   3.8384612e+00
   1.1682446e-03   1.0868188e-02   9.3211172e-04   1.3464374e+02   3.8161754e+00
   1.1749923e-03   1.0930222e-02   9.3743203e-04   1.3386161e+02   3.7940177e+00
   1.1817790e-03   1.0992605e-02   9.4278234e-04   1.3308397e+02   3.7719874e+00
   1.1886049e-03   1.1055340e-02   9.4816281e-04   1.3231080e+02   3.7500837e+00
   1.1954702e-03   1.1118428e-02   9.5357361e-04   1.3154207e+02   3.7283059e+00
   1.2023752e-03   1.1181872e-02   9.5901490e-04   1.3077775e+02   3.7066532e+00
   1.2093201e-03   1.1245673e-02   9.6448685e-04   1.3001783e+02   3.6851250e+00
   1.2163051e-03   1.1309834e-02   9.6998963e-04   1.2926227e+02   3.6637205e+00
   1.2233304e-03   1.1374357e-02   9.7552341e-04   1.2851105e+02   3.6424390e+00
   1.2303963e-03   1.1439243e-02   9.8108836e-04   1.2776415e+02   3.6212798e+00
   1.2375030e-03   1.1504494e-02   9.8668465e-04   1.2702153e+02   3.6002423e+00
   1.2446508e-03   1.1570112e-02   9.9231245e-04   1.2628319e+02   3.5793257e+00
   1.2518399e-03   1.1636100e-02   9.9797193e-04   1.2554908e+02   3.5585292e+00
   1.2590704e-03   1.1702460e-02   1.0036633e-03   1.2481919e+02   3.5378523e+00
   1.2663428e-03   1.1769193e-02   1.0093866e-03   1.2409350e+02   3.5172943e+00
   1.2736571e-03   1.1836301e-02   1.0151422e-03   1.2337197e+02   3.4968544e+00
   1.2810137e-03   1.1903787e-02   1.0209302e-03   1.2265459e+02   3.4765320e+00
   1.2884128e-03   1.1971653e-02   1.0267507e-03   1.2194133e+02   3.4563264e+00
   1.2958546e-03   1.2039901e-02   1.0326040e-03   1.2123217e+02   3.4362370e+00
   1.3033394e-03   1.2108532e-02   1.0384901e-03   1.2052709e+02   3.4162630e+00
   1.3108674e-03   1.2177549e-02   1.0444094e-03   1.1982605e+02   3.3964039e+00
   1.3184390e-03   1.2246954e-02   1.0503620e-03   1.1912904e+02   3.3766589e+00
   1.3260542e-03   1.2316749e-02   1.0563480e-03   1.1843603e+02   3.3570274e+00
   1.3337135e-03   1.2386937e-02   1.0623676e-03   1.1774701e+02   3.3375087e+00
   1.3414169e-03   1.2457519e-02   1.0684211e-03   1.1706194e+02   3.3181022e+00
   1.3491649e-03   1.2528497e-02   1.0745086e-03   1.1638081e+02   3.2988073e+00
   1.3569576e-03   1.2599874e-02   1.0806303e-03   1.1570360e+02   3.2796233e+00
   1.3647953e-03   1.2671652e-02   1.0867864e-03   1.1503027e+02   3.2605496e+00
   1.3726784e-03   1.2743834e-02   1.0929770e-03   1.1436081e+02   3.2415856e+00
   1.3806069e-03   1.2816420e-02   1.0992024e-03   1.1369520e+02   3.2227305e+00
   1.3885812e-03   1.2889414e-02   1.1054628e-03   1.1303341e+02   3.2039838e+00
   1.3966016e-03   1.2962817e-02   1.1117582e-03   1.1237543e+02   3.1853449e+00
   1.4046683e-03   1.3036633e-02   1.1180891e-03   1.1172122e+02   3.1668132e+00
