context,nb_name,plotfile,hostname,epoch,basename,nworkers,ngroup_visibity,ngroup_components,npixel,pb_npixel,flux_limit,pbtype,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,declination,scale,use_radec,use_natural,time_series,integration_time,seed,ntotal,pe,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral,psf_maxabs,psf_rms,psf_medianabs,elapsed_time,processing_rate
s3sky,../../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-18 15:21:52,0,84,24,50,512,1024,0.003,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,0.0,[1. 1.],False,False,wind,30.0,18051955,8006584320,precision,7.382788332432823e-07,1.204956828306782e-07,8.004701576275955e-08,3.5885288001751003e-09,0.9992125054066499,0.004919872190600779,0.00045029498422454047,2922.250663995743,14762.508602543374
s3sky,../../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-18 15:21:52,0,84,24,50,512,1024,0.003,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,0.0,[1. 1.],False,False,wind,30.0,18051955,8006584320,standard,3.0491921784790494e-06,5.062412346621314e-07,3.36555279071291e-07,1.593731124764329e-08,0.9992125054066499,0.004919872190600779,0.00045029498422454047,4692.043123722076,14762.508602543374
s3sky,../../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_0.jpg,openhpc-compute-0.novalocal,2019-07-18 15:21:52,0,84,24,50,512,1024,0.003,MID_GRASP,[0. 0.],[0. 0.],1.0,False,False,0.0,0.0,[1. 1.],False,False,wind,30.0,18051955,8006584320,degraded,5.07755281580387e-06,8.549147188762447e-07,5.683121041095624e-07,3.171156710111514e-08,0.9992125054066499,0.004919872190600779,0.00045029498422454047,6456.653282403946,14762.508602543374
