context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,use_radec,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,1.0,[0. 0.],6.219971705627031e-06,1.0672984283040337e-06,1.233711715999717e-06,2.6789551281323772e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,2.0,[0. 0.],1.2635028173659964e-05,2.1480716427278906e-06,2.5630736624904232e-06,5.840434594619482e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,4.0,[0. 0.],2.6050299876743845e-05,4.354168227746754e-06,5.519654993885033e-06,1.3610941677816616e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,8.0,[0. 0.],5.52207691941459e-05,8.971887467788623e-06,1.2701675982957658e-05,3.494187775510232e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,16.0,[0. 0.],0.00012291514965030983,1.9223869056671813e-05,3.22599913320518e-05,0.00010075984380228861
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,32.0,[0. 0.],0.0003249685715729141,4.498224689388007e-05,9.212713393212617e-05,0.0003249685715729141
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,64.0,[0. 0.],0.0011428999127280474,0.00012277658340858845,0.0002931840573116583,0.0011428999127280474
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,128.0,[0. 0.],0.004244807727956301,0.00039658491661517873,0.0010250503580447167,0.004244807727956301
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-07 13:43:09,simulation18,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,0.0,256.0,[0. 0.],0.01612664003950793,0.0014208412244706193,0.0037309586271992144,0.01612664003950793
