context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.62450524353168e-05,1.2346581875715538e-06,7.87953362532816e-07,1.62450524353168e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],3.297147604587868e-05,2.4695170849790455e-06,1.5756220010635328e-06,3.297147604587868e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],6.786825176621902e-05,4.939844069125923e-06,3.151550503514012e-06,6.786825176621902e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.0001434361150605627,9.882984085421543e-06,6.304415816100367e-06,0.0001434361150605627
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.0003176564742164881,1.9779600710033482e-05,1.260443915905644e-05,0.0003176564742164881
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0007583126707841189,3.9617285336947385e-05,2.520745007783367e-05,0.0007583126707841189
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.002007148395689448,7.949468036427458e-05,5.0491560687601404e-05,0.002007148395689448
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.005958590471075085,0.00016023920304835822,0.00010089074413687277,0.005958590471075085
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-06-05 10:14:01,simulation17,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.019458995227835882,0.00032688449136707083,0.0002001716820710296,0.019458995227835882
