context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,1.0,[0. 0.],7.750177384887215e-06,9.507116973838941e-07,6.066883036864795e-07,5.959725104814038e-07
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,2.0,[0. 0.],1.5461308093111346e-05,1.9014876028363263e-06,1.2131967792758684e-06,1.5908719595766832e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,4.0,[0. 0.],3.076635691482095e-05,3.8032648239680634e-06,2.425931168796506e-06,4.777447959109859e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,8.0,[0. 0.],6.090710244598671e-05,7.6079502560447486e-06,4.852132550424761e-06,1.5937613310383806e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,16.0,[0. 0.],0.00011930726477331025,1.5223676988533337e-05,9.707674724078533e-06,5.740420195616261e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,32.0,[0. 0.],0.00022855241549745985,3.049514509579285e-05,1.9410140897756704e-05,0.00021689149295707805
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,64.0,[0. 0.],0.0008415707384437232,6.131327951160521e-05,3.8944177820232645e-05,0.0008415707384437232
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,128.0,[0. 0.],0.0033054491081484323,0.00012492913827123772,7.82839841820202e-05,0.0033054491081484323
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_1.jpg,Tim-MBP,2019-05-14 15:12:11,512,4096,1.0,[0. 0.],0.0,1.0,0.0,256.0,[0. 0.],0.01295930363638987,0.00026600517002988523,0.00015829561831421377,0.01295930363638987
