context,nb_name,plotfile,hostname,epoch,basename,nworkers,ngroup,npixel,pb_npixel,flux_limit,pbtype,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,use_radec,use_natural,time_series,integration_time,seed,ntotal,pe,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral,psf_maxabs,psf_rms,psf_medianabs,elapsed_time
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_4.jpg,openhpc-compute-0.novalocal,2019-07-04 10:10:05,case3,38,8,512,1024,0.3,MID_GRASP,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,False,wind,10.0,18051955,118847736,precision,1.0775289666917529e-06,2.163608412466743e-07,1.4601000262642129e-07,3.698236526493088e-07,0.9989997605856716,0.015653317325991137,0.007465596849647855,246.8629355430603,4470.743942652458
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_4.jpg,openhpc-compute-0.novalocal,2019-07-04 10:10:05,case3,38,8,512,1024,0.3,MID_GRASP,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,False,wind,10.0,18051955,118847736,standard,4.372606383954617e-06,8.838036576971528e-07,5.963266946429047e-07,1.5087258208782282e-06,0.9989997605856716,0.015653317325991137,0.007465596849647855,474.8103995323181,4470.743942652458
s3sky,../../pointing_simulation_distributed.py,./pointingsimulation_openhpc-compute-0.novalocal_4.jpg,openhpc-compute-0.novalocal,2019-07-04 10:10:05,case3,38,8,512,1024,0.3,MID_GRASP,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],False,False,wind,10.0,18051955,118847736,degraded,7.34442783211542e-06,1.502053087029442e-06,1.0151744920263142e-06,2.552526741158459e-06,0.9989997605856716,0.015653317325991137,0.007465596849647855,699.5600092411041,4470.743942652458
