context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.5340377100297903e-05,2.751657337349824e-06,1.8423895942233978e-06,6.038636103332706e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],3.067900812253908e-05,5.503201235217512e-06,3.6849118055842473e-06,1.2068715775765018e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],6.135099423213636e-05,1.1005954186604633e-05,7.3686840803033455e-06,2.4103180758286058e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.00012267359912742956,2.2010159052540772e-05,1.4737177078023073e-05,4.806915825173869e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.00024517026696533245,4.401179464506769e-05,2.9458258490702762e-05,9.554940783184417e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.0004937494936527387,8.901202095207534e-05,5.957248355842967e-05,0.00020623470098144245
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.0009401896332665027,0.00017936139911206364,0.00012002300120787882,0.0003632420301458538
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.0019011324761568245,0.0003623811308607723,0.0002428344737771989,0.0006429046926966904
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 18:44:17,simulation8,512,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.004897684705992573,0.0008913760378533373,0.0005982713676076,0.0010385382361862141
