context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,1.0,[0. 0.],3.0882585943352722e-06,4.6863429416235943e-07,3.140065069222949e-07,6.705075773907917e-07
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,2.0,[0. 0.],6.176994672900444e-06,9.372698281636902e-07,6.280192374650047e-07,1.339786943809644e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,4.0,[0. 0.],1.2355882462328107e-05,1.874548758561651e-06,1.2560473117715876e-06,2.674661186602599e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,8.0,[0. 0.],2.4719202792334054e-05,3.749167061210007e-06,2.512284471561102e-06,5.329672862445851e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,16.0,[0. 0.],4.946707974548545e-05,7.498877205298322e-06,5.025262840082392e-06,1.0580757086676434e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,32.0,[0. 0.],9.904023112439297e-05,1.5002041886911779e-05,1.005359457079688e-05,2.084729733604398e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,64.0,[0. 0.],0.0001984354698503181,3.003805285869657e-05,2.0128196326734358e-05,4.043934618655602e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,128.0,[0. 0.],0.00040089438297500246,6.034359738428654e-05,4.044799326069846e-05,7.588104210820276e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,2019-05-19 14:57:59,4096,4096,0.1,[0. 0.],0.0,1.0,False,False,0.0,256.0,[0. 0.],0.0008193629749114011,0.00012272550430370748,8.229157473299407e-05,0.00013208951898802525
