context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,1.0,[0. 0.],9.317964811429624e-06,8.839731714284861e-07,5.675459351382884e-07,5.589612510366152e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,2.0,[0. 0.],1.862023519548734e-05,1.767811978902826e-06,1.1350395332021333e-06,1.0763903553779582e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,4.0,[0. 0.],3.717759367926152e-05,3.5351029621867583e-06,2.269942317249742e-06,1.9866448754608058e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,8.0,[0. 0.],7.410289147117631e-05,7.068253768527471e-06,4.53981325509346e-06,3.308695785700954e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,16.0,[0. 0.],0.0001471903350484403,1.4129755612158871e-05,9.076425831215957e-06,3.958728532142357e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,32.0,[0. 0.],0.0002902695421591481,2.824098286912476e-05,1.815571581715277e-05,2.7176072190239757e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,64.0,[0. 0.],0.0005637126660228358,5.647585376495471e-05,3.627953460810552e-05,0.00047948616717111435
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,128.0,[0. 0.],0.0026525543432503857,0.00011346610000917245,7.238411259179853e-05,0.0026525543432503857
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_2.jpg,Tim-MBP,2019-05-16 14:19:10,512,4096,1.0,[0. 0.],0.0,1.0,0.0,256.0,[0. 0.],0.011948419655326593,0.00023298342797442188,0.00014453732635465942,0.011948419655326593
