context,nb_name,plotfile,hostname,epoch,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,1.0,0.0,[0. 0.],2.94703497289614e-05,1.4057382589687552e-06,8.160058656208537e-07,2.855410499753258e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,2.0,0.0,[0. 0.],5.908976964630892e-05,2.8112929230010083e-06,1.631872126091325e-06,5.077724284023211e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,4.0,0.0,[0. 0.],0.00011877502442163106,5.621868960626346e-06,3.2648467433185076e-06,7.622910074259072e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,8.0,0.0,[0. 0.],0.00023992559580509874,1.1241010579745026e-05,6.525432006287383e-06,5.114616549435896e-06
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,16.0,0.0,[0. 0.],0.0004893017787291692,2.2472237039002343e-05,1.3042535979636916e-05,3.030136202318607e-05
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,32.0,0.0,[0. 0.],0.0010159860182490654,4.491438894333119e-05,2.6095506019662326e-05,0.00022272947178721922
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,64.0,0.0,[0. 0.],0.00217803452411312,8.978134885330601e-05,5.2109304523381065e-05,0.0010933309393684678
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,128.0,0.0,[0. 0.],0.005063144661761238,0.00017995494269871428,0.00010403360175086596,0.004762398708302989
singlesource,pointing_simulation.py,./pointingsimulation_Tim-MBP_0.jpg,Tim-MBP,2019-05-21 15:42:26,512,4096,1.0,[0. 0.],1.0,0.0,False,False,256.0,0.0,[0. 0.],0.019535278497042143,0.00036582574907770743,0.0002060742780449128,0.019535278497042143
