context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,use_radec,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,1.0,0.0,[0. 0.],3.757923595260351e-05,1.666068553375147e-06,9.555682786477432e-07,2.6862317447726386e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,2.0,0.0,[0. 0.],7.500392404752089e-05,3.3322484535390445e-06,1.911060527779641e-06,5.9481550747873454e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,4.0,0.0,[0. 0.],0.00014938872043688842,6.664939259642959e-06,3.821625275632596e-06,1.4198850292276037e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,8.0,0.0,[0. 0.],0.00029629346946500343,1.3331623531192561e-05,7.642292980184532e-06,3.760591294736898e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,16.0,0.0,[0. 0.],0.0005875455890719752,2.667002991804705e-05,1.5282865818000988e-05,0.0001120268487311997
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,32.0,0.0,[0. 0.],0.001173325237831971,5.336558151397098e-05,3.056094708109296e-05,0.00037113545894308376
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,64.0,0.0,[0. 0.],0.002336724763057709,0.00010681986168052992,6.116772009695061e-05,0.0013286026399550346
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,128.0,0.0,[0. 0.],0.00534950294694222,0.00021387950859009516,0.00012197342936799921,0.004977594124726793
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-06 02:02:37,simulation12,512,4096,1.0,[0. 0.],1.0,0.0,False,False,0.0,[1. 1.],False,256.0,0.0,[0. 0.],0.018899763859709727,0.00042768491707785366,0.00023982705183266578,0.018899763859709727
